City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Elbistan,TR,2021-04-08 11:33:35,38.2059,37.1983,68.76,25,59,18.1
67,Yarmouth,US,2021-04-08 11:33:35,41.7057,-70.2286,48.2,87,90,4.61
68,Taft,IR,2021-04-08 11:33:36,31.7471,54.2088,86.0,8,20,6.91
69,Tasiilaq,GL,2021-04-08 11:33:36,65.6145,-37.6368,15.8,57,40,2.3
70,Marabba,SD,2021-04-08 11:33:36,12.35,32.1833,105.89,4,66,7.85
71,Sitka,US,2021-04-08 11:33:37,57.0531,-135.33,33.8,75,40,8.05
72,Port-Gentil,GA,2021-04-08 11:32:11,-0.7193,8.7815,89.6,70,20,12.66
73,Atar,MR,2021-04-08 11:33:38,20.5169,-13.0499,93.9,9,0,8.23
74,Carnarvon,AU,2021-04-08 11:33:38,-24.8667,113.6333,78.8,73,0,17.27
75,Nouakchott,MR,2021-04-08 11:33:38,18.0858,-15.9785,87.8,18,0,12.66
76,Maragogi,BR,2021-04-08 11:33:39,-9.0122,-35.2225,82.02,71,71,12.35
77,Imbituba,BR,2021-04-08 11:33:39,-28.24,-48.6703,71.6,94,75,5.75
78,Sorong,ID,2021-04-08 11:33:40,-0.8833,131.25,81.41,79,95,6.93
79,Kavaratti,IN,2021-04-08 11:33:40,10.5669,72.642,83.55,71,83,8.41
80,Coolum Beach,AU,2021-04-08 11:33:40,-26.5333,153.1,70.0,91,1,6.82
81,Celestun,MX,2021-04-08 11:33:41,20.8667,-90.4,74.03,81,99,11.23
82,Meulaboh,ID,2021-04-08 11:33:41,4.1363,96.1285,80.42,79,63,4.83
83,Tezu,IN,2021-04-08 11:33:41,27.9167,96.1667,79.65,37,66,3.4
84,Kruisfontein,ZA,2021-04-08 11:33:42,-34.0033,24.7314,80.01,57,18,8.01
85,Hobart,AU,2021-04-08 11:29:27,-42.8794,147.3294,68.0,42,100,10.36
86,Vilyuysk,RU,2021-04-08 11:33:42,63.7553,121.6247,30.16,98,100,3.2
87,Aden,YE,2021-04-08 11:33:43,12.7794,45.0367,83.98,56,15,12.88
88,Oktyabrskiy,RU,2021-04-08 11:33:43,54.4815,53.471,37.4,99,100,12.24
89,Atuona,PF,2021-04-08 11:33:44,-9.8,-139.0333,80.85,71,22,14.34
90,Vaini,TO,2021-04-08 11:33:44,-21.2,-175.2,66.2,94,20,4.43
91,Georgetown,MY,2021-04-08 11:29:58,5.4112,100.3354,87.8,74,20,6.91
92,Muisne,EC,2021-04-08 11:33:45,0.6,-80.0333,76.3,87,99,9.98
93,Aquiraz,BR,2021-04-08 11:33:45,-3.9014,-38.3911,82.4,83,40,12.66
94,Ugoofaaru,MV,2021-04-08 11:33:45,5.6667,73.0,82.96,73,65,10.29
95,New Norfolk,AU,2021-04-08 11:33:46,-42.7826,147.0587,62.01,71,100,1.01
96,Snyder,US,2021-04-08 11:33:46,32.7179,-100.9176,51.8,37,1,8.05
97,Olafsvik,IS,2021-04-08 11:33:47,64.8945,-23.7142,25.43,59,97,27.49
98,Vestmanna,FO,2021-04-08 11:33:47,62.1564,-7.1664,33.8,86,20,32.21
99,Yerbogachen,RU,2021-04-08 11:33:47,61.2767,108.0108,30.67,97,100,10.76
100,Raudeberg,NO,2021-04-08 11:33:48,61.9875,5.1352,36.0,79,100,19.86
101,Taksimo,RU,2021-04-08 11:33:48,56.3444,114.8794,27.95,95,99,0.38
102,Paterno,IT,2021-04-08 11:33:15,37.571,14.9027,60.8,47,20,17.27
103,Souillac,MU,2021-04-08 11:33:49,-20.5167,57.5167,84.2,65,75,11.5
104,Puerto Baquerizo Moreno,EC,2021-04-08 11:32:46,-0.9,-89.6,75.83,89,93,4.21
105,Bubaque,GW,2021-04-08 11:33:49,11.2833,-15.8333,76.82,68,32,8.12
106,Butaritari,KI,2021-04-08 11:33:49,3.0707,172.7902,81.88,79,22,17.13
107,Khatanga,RU,2021-04-08 11:33:50,71.9667,102.5,-9.47,99,67,4.83
108,Narsaq,GL,2021-04-08 11:33:50,60.9167,-46.05,33.8,60,20,3.44
109,Nioaque,BR,2021-04-08 11:33:51,-21.1353,-55.83,80.28,50,15,9.91
110,Hilo,US,2021-04-08 11:32:41,19.7297,-155.09,66.2,82,90,8.05
111,Magadan,RU,2021-04-08 11:33:52,59.5667,150.8,10.56,84,4,8.12
112,Vila Franca Do Campo,PT,2021-04-08 11:33:52,37.7167,-25.4333,60.8,88,75,17.27
113,Freeport,US,2021-04-08 11:31:34,40.6576,-73.5832,48.0,76,1,3.44
114,Kapaa,US,2021-04-08 11:33:53,22.0752,-159.319,71.6,68,90,20.71
115,Hermanus,ZA,2021-04-08 11:33:53,-34.4187,19.2345,75.0,63,32,1.01
116,Katsuura,JP,2021-04-08 11:33:53,35.1333,140.3,59.0,61,85,5.99
117,Husavik,IS,2021-04-08 11:33:54,66.0449,-17.3389,21.2,86,75,26.46
118,Upernavik,GL,2021-04-08 11:33:54,72.7868,-56.1549,7.18,64,77,6.31
119,Geraldton,AU,2021-04-08 11:33:54,-28.7667,114.6,73.4,68,98,13.8
