City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Husavik,IS,66.0449,-17.3389,39.2,81,0,11.5,clear sky
80,Pangai,TO,-19.8,-174.35,82.4,65,40,4.61,scattered clouds
81,Busselton,AU,-33.65,115.3333,66.0,79,29,1.01,scattered clouds
82,Fairbanks,US,64.8378,-147.7164,46.4,56,90,6.91,haze
83,Saint Anthony,US,45.0205,-93.218,43.0,81,90,13.8,overcast clouds
84,Sao Filipe,CV,14.8961,-24.4956,76.33,57,38,11.48,scattered clouds
85,Iquique,CL,-20.2208,-70.1431,68.0,68,90,8.05,overcast clouds
86,Pasaje,EC,-3.3333,-79.8167,76.19,89,88,0.4,overcast clouds
87,Shirpur,IN,21.35,74.8833,82.2,37,0,4.16,clear sky
88,Caravelas,BR,-17.7125,-39.2481,75.04,72,66,9.35,broken clouds
89,Iralaya,HN,15.0,-83.2333,78.67,79,35,8.79,scattered clouds
90,Hithadhoo,MV,-0.6,73.0833,82.06,63,31,2.48,scattered clouds
91,Pundaguitan,PH,6.3711,126.1689,82.45,71,59,5.82,broken clouds
92,Saint-Philippe,RE,-21.3585,55.7679,73.4,83,40,5.75,light rain
93,Pinega,RU,64.7001,43.3936,31.08,81,7,9.44,clear sky
94,Baruun-Urt,MN,46.6806,113.2792,31.12,73,100,28.83,light snow
95,Harper,LR,4.375,-7.7169,80.15,83,100,4.97,overcast clouds
96,Lakatoro,VU,-16.0999,167.4164,85.59,67,10,8.77,clear sky
97,Arman,RU,59.7,150.1667,26.71,72,99,10.94,overcast clouds
98,Coquimbo,CL,-29.9533,-71.3436,59.0,88,90,1.14,overcast clouds
99,Idaho Falls,US,43.4666,-112.0341,39.2,75,90,5.75,light rain
100,Mackay,AU,-21.15,149.2,81.0,65,47,13.8,scattered clouds
101,Pangkalanbuun,ID,-2.6833,111.6167,82.92,77,92,0.63,light rain
102,Sitka,US,57.0531,-135.33,42.8,81,90,6.91,light rain
103,Kaeo,NZ,-35.1,173.7833,72.0,57,5,10.0,clear sky
104,Vanimo,PG,-2.6741,141.3028,84.22,68,100,3.94,overcast clouds
105,Ngunguru,NZ,-35.6167,174.5,72.0,57,41,10.0,scattered clouds
106,De-Kastri,RU,51.4667,140.7833,30.2,67,100,11.21,overcast clouds
107,Cape Town,ZA,-33.9258,18.4232,62.01,94,0,9.22,clear sky
108,Helong,CN,42.5397,128.9972,57.4,19,74,6.06,broken clouds
109,Saskylakh,RU,71.9167,114.0833,1.6,87,21,5.73,few clouds
110,Avarua,CK,-21.2078,-159.775,82.4,69,0,6.91,clear sky
111,Palmer,US,42.1584,-72.3287,53.6,62,75,6.91,broken clouds
112,Kitgum,UG,3.2783,32.8867,66.58,87,82,2.82,broken clouds
113,Vila Velha,BR,-20.3297,-40.2925,73.4,78,0,10.36,clear sky
114,Hofn,IS,64.2539,-15.2082,43.12,88,99,9.91,overcast clouds
115,Lebu,CL,-37.6167,-73.65,54.86,93,100,4.09,overcast clouds
116,Los Banos,PH,14.1667,121.1833,89.01,66,75,4.61,broken clouds
117,Saint George,US,37.1041,-113.5841,68.0,16,1,10.36,clear sky
118,Paamiut,GL,61.994,-49.6678,23.83,77,54,27.78,broken clouds
119,Lagoa,PT,39.05,-27.9833,60.69,87,43,10.56,scattered clouds
120,Nanortalik,GL,60.1432,-45.2371,32.45,90,50,12.93,scattered clouds
121,Ponta Do Sol,PT,32.6667,-17.1,62.6,82,20,5.75,few clouds
122,Wasilla,US,61.5814,-149.4394,39.99,70,90,10.36,overcast clouds
123,Kangaatsiaq,GL,68.3065,-53.4641,10.6,91,100,22.59,light snow
124,Longyearbyen,SJ,78.2186,15.6401,6.8,61,40,13.8,scattered clouds
125,Progreso,MX,21.2833,-89.6667,87.8,58,40,4.61,scattered clouds
126,Nome,US,64.5011,-165.4064,36.0,75,40,9.22,scattered clouds
127,Atar,MR,20.5169,-13.0499,75.96,22,90,8.75,overcast clouds
128,Barrow,US,71.2906,-156.7887,15.8,73,1,13.8,clear sky
129,Khatanga,RU,71.9667,102.5,-6.43,94,45,9.46,scattered clouds
130,Teahupoo,PF,-17.8333,-149.2667,82.4,74,75,11.5,broken clouds
131,Koror,PW,7.3398,134.4733,77.0,94,90,24.16,moderate rain
132,Sola,VU,-13.8833,167.55,82.72,70,52,12.17,broken clouds
133,Souris,CA,49.6172,-100.2612,28.4,80,90,9.22,overcast clouds
134,Clinton,US,42.587,-82.9199,44.01,56,20,10.36,few clouds
135,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,77,0,6.91,clear sky
136,Yerbogachen,RU,61.2767,108.0108,27.73,69,40,7.0,scattered clouds
137,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,68,0,4.61,clear sky
138,Christchurch,NZ,-43.5333,172.6333,62.6,67,100,10.36,light rain
139,Morwell,AU,-38.2333,146.4,63.0,56,78,8.01,broken clouds
140,Kruisfontein,ZA,-34.0033,24.7314,57.0,97,2,1.01,clear sky
141,Coolum Beach,AU,-26.5333,153.1,79.0,60,0,4.81,clear sky
142,Nishihara,JP,26.1842,127.7558,73.4,73,90,9.22,overcast clouds
143,Novochernorechenskiy,RU,56.2669,91.0828,33.01,78,99,3.29,overcast clouds
144,Rocha,UY,-34.4833,-54.3333,57.49,93,25,6.08,scattered clouds
145,Xam Nua,LA,20.4197,104.0439,79.39,56,95,0.67,overcast clouds
146,Mandalgovi,MN,45.7625,106.2708,28.17,33,1,28.59,clear sky
147,Santa Fe,AR,-31.6333,-60.7,71.01,75,100,1.99,overcast clouds
148,Bowen,AU,-20.0167,148.2333,80.6,57,40,14.97,scattered clouds
149,East London,ZA,-33.0153,27.9116,67.42,83,5,6.53,clear sky
150,Sistranda,NO,63.7256,8.834,39.2,81,75,12.66,broken clouds
151,Chapais,CA,49.7834,-74.8492,44.6,45,1,4.61,clear sky
152,Camacha,PT,33.0833,-16.3333,62.6,88,40,9.22,scattered clouds
153,Sangar,RU,63.9242,127.4739,19.87,87,99,2.71,overcast clouds
154,Arraial Do Cabo,BR,-22.9661,-42.0278,74.19,62,59,4.56,broken clouds
155,Xuddur,SO,4.1213,43.8894,73.53,81,44,10.94,scattered clouds
156,Kamennogorsk,RU,60.9545,29.1339,32.0,69,0,5.75,clear sky
157,Aksarka,RU,66.5606,67.7975,32.86,90,100,12.5,overcast clouds
158,Olafsvik,IS,64.8945,-23.7142,41.67,95,85,15.68,light rain
159,Swan Hill,AU,-35.3378,143.5544,64.44,40,90,11.48,overcast clouds
160,Bandarbeyla,SO,9.4942,50.8122,79.75,75,100,4.56,overcast clouds
161,Egvekinot,RU,66.3167,-179.1667,14.65,77,13,1.68,few clouds
162,Port Elizabeth,ZA,-33.918,25.5701,59.0,94,90,4.61,fog
163,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,20,6.91,few clouds
164,Sarangarh,IN,21.6,83.0833,82.54,35,64,6.29,broken clouds
165,Tarancon,ES,40.0085,-3.0073,54.0,67,100,11.01,overcast clouds
166,Kyaikto,MM,17.3,97.0167,85.01,68,100,3.4,overcast clouds
